Make,Model,Number.of.Engines,Total.Fatalities,Total.Uninjured,Publication.Date,Aircraft.damage_Destroyed,Aircraft.damage_Minor,Aircraft.damage_Substantial,Total.Injuries,total.inj.or.killed,Percent.Injured.or.Killed,Passenger.Capacity.Tier
BEECH,B55,2.0,2.0,0.0,25-09-2020,False,False,True,0.0,2.0,1.0,private plane
EMBRAER,Citation,2.0,0.0,1.0,25-06-2021,False,False,True,2.0,2.0,0.6666666666666666,private plane
EMBRAER,EMB170,2.0,0.0,52.0,25-09-2020,False,False,False,1.0,1.0,0.018867924528301886,regional airliner
CESSNA,310B,2.0,4.0,0.0,25-09-2020,False,False,True,0.0,4.0,1.0,
AIRBUS,PA-23,2.0,0.0,6.0,25-09-2020,False,False,False,1.0,1.0,0.14285714285714285,private plane
PIPER,PA-31,2.0,4.0,0.0,15-06-2021,True,False,False,0.0,4.0,1.0,private plane
PIPER,PA-31,2.0,1.0,0.0,25-09-2020,True,False,False,3.0,4.0,1.0,private plane
BEECH,C99,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,regional airliner
PIPER,PA-34,2.0,1.0,0.0,25-09-2020,True,False,False,0.0,1.0,1.0,private plane
CESSNA,414,2.0,1.0,0.0,25-09-2020,True,False,False,0.0,1.0,1.0,private plane
AIRBUS,A319,2.0,0.0,121.0,25-09-2020,False,False,False,8.0,8.0,0.06201550387596899,large airliner
BOEING,737,2.0,0.0,134.0,25-09-2020,False,False,True,0.0,0.0,0.0,large airliner
BOEING,787,2.0,0.0,320.0,25-09-2020,False,False,False,0.0,0.0,0.0,large airliner
BOEING,737,2.0,0.0,168.0,25-09-2020,False,False,True,0.0,0.0,0.0,large airliner
BEECH,B55,2.0,6.0,0.0,25-09-2020,False,False,True,0.0,6.0,1.0,private plane
AIRBUS,PA-23,2.0,0.0,124.0,25-09-2020,False,True,False,27.0,27.0,0.17880794701986755,private plane
PIPER,PA-34,2.0,0.0,3.0,25-09-2020,False,True,False,0.0,0.0,0.0,private plane
